year,metric,team,value
2013,points,Scotland,110.0
2013,points,England,106.0
2013,points,Italy,98.0
2013,points,France,91.0
2013,points,Ireland,86.0
2013,wales,Wales,122.0
2013,wales,Scotland,110.0
2013,wales,England,106.0
2013,wales,Italy,98.0
2013,wales,France,91.0
2013,wales,Ireland,86.0
2014,all_time_6nations_wins,England,171.0
2014,all_time_6nations_wins,Ireland,170.0
2014,all_time_6nations_wins,France,131.0
2014,all_time_6nations_wins,Wales,122.0
2014,all_time_6nations_wins,Italy,73.0
2014,all_time_6nations_wins,Scotland,53.0
2014,all_time_6nations_wins,England,171.0
2014,all_time_6nations_wins,Ireland,170.0
2014,all_time_6nations_wins,France,131.0
2014,all_time_6nations_wins,Wales,122.0
2014,all_time_6nations_wins,Italy,73.0
2014,all_time_6nations_wins,Scotland,53.0
2014,points,England,171.0
2014,points,Ireland,170.0
2014,points,France,131.0
2014,points,Wales,122.0
2014,points,Italy,73.0
2014,points,Scotland,53.0
2014,points,England,171.0
2014,points,Ireland,170.0
2014,points,France,131.0
2014,points,Wales,122.0
2014,points,Italy,73.0
2014,points,Scotland,53.0
2014,england,England,171.0
2014,england,Ireland,170.0
2014,england,France,131.0
2014,england,Wales,122.0
2014,england,Italy,73.0
2014,england,Scotland,53.0
2015,all_time_6nations_wins,England,191.0
2015,all_time_6nations_wins,Ireland,178.0
2015,all_time_6nations_wins,Wales,146.0
2015,all_time_6nations_wins,France,132.0
2015,all_time_6nations_wins,Scotland,96.0
2015,all_time_6nations_wins,Italy,62.0
2015,all_time_6nations_wins,England,191.0
2015,all_time_6nations_wins,Ireland,178.0
2015,all_time_6nations_wins,Wales,146.0
2015,all_time_6nations_wins,France,132.0
2015,all_time_6nations_wins,Scotland,96.0
2015,all_time_6nations_wins,Italy,62.0
2015,points,England,191.0
2015,points,Ireland,178.0
2015,points,Wales,146.0
2015,points,France,132.0
2015,points,Scotland,96.0
2015,points,Italy,62.0
2015,points,England,191.0
2015,points,Ireland,178.0
2015,points,Wales,146.0
2015,points,France,132.0
2015,points,Scotland,96.0
2015,points,Italy,62.0
2015,england,England,191.0
2015,england,Ireland,178.0
2015,england,Wales,146.0
2015,england,France,132.0
2015,england,Scotland,96.0
2015,england,Italy,62.0
2016,all_time_6nations_wins,Ireland,173.0
2016,all_time_6nations_wins,England,153.0
2016,all_time_6nations_wins,Wales,150.0
2016,all_time_6nations_wins,Scotland,147.0
2016,all_time_6nations_wins,France,105.0
2016,all_time_6nations_wins,Italy,100.0
2016,all_time_6nations_wins,Ireland,173.0
2016,all_time_6nations_wins,England,153.0
2016,all_time_6nations_wins,Wales,150.0
2016,all_time_6nations_wins,Scotland,147.0
