year,team,final_position,grand_slam,matches_played,matches_won,matches_drawn,matches_lost,points_scored,points_conceded,points_difference,tries_scored,tries_conceded,bonus_points,table_points
2016,Wales,2.0,N/A,5.0,3.0,1.0,1.0,150.0,88.0,62.0,17.0,7.0,0.0,7.0
2016,Ireland,3.0,N/A,5.0,2.0,1.0,2.0,128.0,87.0,41.0,15.0,9.0,0.0,5.0
2016,Scotland,4.0,N/A,5.0,2.0,0.0,3.0,122.0,115.0,7.0,11.0,13.0,0.0,4.0
2016,France,5.0,N/A,5.0,2.0,0.0,3.0,82.0,109.0,-27.0,7.0,9.0,0.0,4.0
2016,Italy,6.0,N/A,5.0,0.0,0.0,5.0,79.0,224.0,-145.0,8.0,29.0,0.0,0.0
2017,England,1.0,0,5.0,4.0,0.0,1.0,146.0,81.0,65.0,16.0,8.0,3.0,19.0
2017,Ireland,2.0,N/A,5.0,3.0,0.0,2.0,126.0,77.0,49.0,14.0,7.0,2.0,14.0
2017,France,3.0,N/A,5.0,3.0,0.0,2.0,107.0,90.0,17.0,8.0,6.0,2.0,14.0
2017,Scotland,4.0,N/A,5.0,3.0,0.0,2.0,122.0,118.0,4.0,14.0,12.0,2.0,14.0
2017,Wales,5.0,N/A,5.0,2.0,0.0,3.0,102.0,86.0,16.0,8.0,7.0,2.0,10.0
2017,Italy,6.0,N/A,5.0,0.0,0.0,5.0,50.0,201.0,-151.0,6.0,26.0,0.0,0.0
2018,Ireland,1.0,1,5.0,5.0,0.0,0.0,160.0,82.0,78.0,20.0,11.0,6.0,26.0
2018,Wales,2.0,N/A,5.0,3.0,0.0,2.0,119.0,83.0,36.0,13.0,11.0,3.0,15.0
2018,Scotland,3.0,N/A,5.0,3.0,0.0,2.0,101.0,128.0,-27.0,11.0,14.0,1.0,13.0
2018,France,4.0,N/A,5.0,2.0,0.0,3.0,108.0,94.0,14.0,8.0,6.0,3.0,11.0
2018,England,5.0,N/A,5.0,2.0,0.0,3.0,102.0,92.0,10.0,14.0,9.0,2.0,10.0
2018,Italy,6.0,N/A,5.0,0.0,0.0,5.0,92.0,203.0,-111.0,12.0,27.0,1.0,1.0
2019,Wales,1.0,1,5.0,5.0,0.0,0.0,114.0,65.0,49.0,10.0,7.0,3.0,23.0
2019,England,2.0,N/A,5.0,3.0,1.0,1.0,184.0,101.0,83.0,24.0,13.0,4.0,18.0
2019,Ireland,3.0,N/A,5.0,3.0,0.0,2.0,101.0,100.0,1.0,14.0,10.0,2.0,14.0
2019,France,4.0,N/A,5.0,2.0,0.0,3.0,93.0,118.0,-25.0,12.0,15.0,2.0,10.0
2019,Scotland,5.0,N/A,5.0,1.0,1.0,3.0,105.0,125.0,-20.0,14.0,17.0,3.0,9.0
2019,Italy,6.0,N/A,5.0,0.0,0.0,5.0,79.0,167.0,-88.0,10.0,22.0,0.0,0.0
2020,England,1.0,0,5.0,4.0,0.0,1.0,121.0,77.0,44.0,14.0,9.0,2.0,18.0
